"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Text","At Higher Levels"
"风墙术","PHB","3环","动作","专注，至多 1 分钟","塑能","120 尺","声音、姿势、材料 (一把小扇和一根异地之物的羽毛)","德鲁伊、游侠","一道强风之墙从射程内你所选择的一处地面升起。你可以使这道墙呈现最多50尺长、15尺高、以及1尺厚。你可以自由形塑这道墙的形状，但它必须沿着地面形成一条连续的路线。这道墙持续直到法术持续时间结束。当这道墙出现时，每个处于其区域内的生物都必须进行一次力量豁免。一个豁免失败的目标将受到3d8钝击伤害，豁免成功则只受到一半的伤害。这阵强风会驱离云雾、浓烟、和其他气体。体型为小型或更小的飞行生物或物体无法穿过这道墙。被带进这道墙内的未被固定的轻量物质将会向上吹飞。射向墙后目标的箭、弩矢、和其他寻常的投射物会被向上偏斜，并因此自动失手。（巨人或投石机投出的巨岩、以及其他类似的投射物，则不会受到影响。）处于气化形体的生物无法穿过这道墙。",""
"疯狂冠冕","PHB","2环","动作","专注，至多 1 分钟","惑控","120 尺","声音、姿势","吟游诗人、术士、契术师、法师","一个射程内你所选择且你能看见的类人生物必须成功通过一次感知检定，否则在法术持续期间被你魅惑。当目标因为这个方式被魅惑，一个扭曲的锯齿冠冕出现在它的头上，且它的眼神闪烁着疯狂。被魅惑的目标每次在它的回合移动之前，必须使用它的动作对它自己以外，你用心灵指定的一个生物进行一次近战攻击。如果你没有选择任何生物、或者他们都不在它的触及范围内，则目标可以在它的回合如常行动。在你的后续回合，你必须使用你的动作以维持对目标的控制，否则此法术结束。此外，目标可以在它每个回合结束时进行一次感知豁免。若豁免成功，则此法术结束。",""
"拂晓之光","XGE","5环","动作","专注，至多 1 分钟","塑能","60 尺","声音、姿势、材料 (一件价值至少100金币的旭日坠饰)","牧师、法师","黎明曙光照在射程内你所指定的一处。直到此法术结束前，一道30尺半径、40尺高圆柱体的明亮光照将在该处闪烁，这道光线视为日光。当圆柱体出现时，每个在其中的生物都必须进行一次体质豁免，若豁免失败则受到4d10光耀伤害，或豁免成功则只受到一半的伤害。一个在圆柱体内结束它回合的生物也必须进行此豁免检定。若你距离圆柱体60尺内，则你可以在你的回合以一个附赠动作移动它最多60尺距离。",""
"浮空术","PHB","2环","动作","专注，至多 10 分钟","变化","60 尺","声音、姿势、材料 (一条小皮环或者一根弯成杯型且末端有着长柄的金丝)","奇械师、奇械师 (Revisited)、术士、法师","射程内你所选且你能看见的一个生物或未被固定的物体将垂直升起最多20尺，且在持续时间内维持漂浮的状态。此法术可以浮起一个重量最多500磅的目标。一个成功通过体质豁免的非自愿生物将不受影响。目标只能借由推拉触及范围内固定的物体或表面来移动（像是墙壁或天花板），这让它能如同攀爬一样移动。你可以在你的回合改变目标的上下高度最多20尺。如果你自己就是目标，则你可以把上下移动当作你正常移动的一部分。除此之外，你可以使用你的动作去移动目标，而目标也必须待在法术的射程内。当法术结束时，若目标仍在半空中，它将会缓缓的飘落到地面上。",""
"负能量洪流","XGE","5环","动作","即效","死灵","60 尺","声音、材料 (一根破碎的骨头和一块黑色丝绸)","契术师、法师","你向射程内你所能看见的一个生物送出一束又一束的负能量。除非目标为不死生物，否则它必须进行一次体质豁免，若豁免失败则受到5d12黯蚀伤害，豁免成功则只受到一半的伤害。一个被该伤害杀死的目标将在你的下个回合开始时作为一只僵尸复活。该僵尸将会追逐任何它所能看见且最接近它的生物。僵尸的游戏数据记载于《怪物图鉴》。若你选择一个不死生物作为此法术的目标，则目标不进行豁免检定，而是改为骰5d12。目标将获得其总和一半的临时生命值。",""
"复仇风暴","PHB","9环","动作","专注，至多 1 分钟","咒法","视线","声音、姿势","德鲁伊","一团翻搅的风暴雷云以你所能看见的一点为中心缓缓成形，并一直蔓延到360尺半径的范围。在这个区域内电闪雷鸣、狂风呼啸。每个在这片雷云出现时处于其下方的生物（雷云下方不超过5,000尺的距离）必须进行一次体质豁免。若豁免失败，该生物将受到2d6雷鸣伤害，且陷入耳聋状态长达5分钟。你每维持一轮对此法术的专注，这个风暴就会在你的回合产生不同的效果。 第二轮. 强酸之雨从雷云降下。每个在雷云下方的生物和物体都将受到1d6强酸伤害。 第三轮. 你从雷云中唤出六道闪电击向雷云下方六个你所选择的生物或物体。各生物或物体不能被多于一道闪电袭击。一个被袭击的生物必须进行一次敏捷豁免。豁免失败的生物将受到10d6闪电伤害，豁免成功则只受到一半的伤害。 第四轮. 冰雹从雷云倾盆而下。每个在雷云下方的生物都将受到2d6钝击伤害。 第五～十轮. 狂风和刺骨的雨势侵袭整片雷云下方的区域。这片区域变成困难地形，且它被重度遮蔽。每个在该处的生物将受到1d6冷冻伤害。在这片区域内进行远程武器攻击是不可能的。该处的狂风暴雨在维持法术专注时被视作严重干扰。最后，这片区域的强烈风势（风速为每小时20到50里）将自动吹散云烟、迷雾、或其他类似现象，无论它是魔法性或寻常现象都一样。",""
"复活术","PHB","7环","1 小时","即效","死灵","触碰","声音、姿势、材料 (一颗价值至少1,000金币的钻石，在施法时消耗)","吟游诗人、牧师","你触碰的一个死亡不超过一个世纪、并非因年老而死去、且非不死生物的生物。如果它的灵魂愿意且不受拘束，则目标将以生命值全满的状态复活。此法术会中和并治疗任何在该生物死亡时影响着它的毒素和疾病。然而，此法术并不能移除魔法疾病、诅咒、或其他类似效果；若这些效果没有在施放此法术前被移除，则它们将在该生物复活之后继续发挥效果。此法术会愈合所有肉体伤口，并会恢复任何失去的身体部位。从死里复活的过程是相当艰苦的。目标将在它所有的攻击检定、豁免检定、和属性检定上承受?4的减值。每当目标完成一次长休，这个减值便会减轻1点，直到它完全消失。施放此法术以复活一个死亡超过一年或更久的生物会对你造成极大的负担。直到你完成一次长休前，你无法再次施放此法术，且你在所有的攻击检定、豁免检定、和属性检定上具有劣势。",""
"钢风打击","XGE","5环","动作","即效","咒法","30 尺","姿势、材料 (一把价值至少1银币的近战武器)","游侠、法师","你挥舞施法所用的武器并接着消失以如风出手袭击。选择射程内最多五个你所能看见的生物。对每个目标各进行一次近战法术攻击。若命中，目标将受到6d10力场伤害。你可以接着传送到一处距离其中一个目标5尺内（无论命中与否），你所能看见的未被占据空间。",""
"高等复原术","PHB","5环","动作","即效","防护","触碰","声音、姿势、材料 (价值至少100金币的钻石粉，在施法时消耗)","奇械师、奇械师 (Revisited)、吟游诗人、牧师、德鲁伊","你将正面能量注入一个你所触碰的生物以消除一个使它衰弱的效果。你可以降低目标的一级力竭，或结束下列其中一个目标身上的效果：一个魅惑或石化目标的效果一个诅咒，包括目标和一个诅咒魔法物品的同调任何一个目标属性值的减损一个减少目标生命值最大值的效果",""
"高等隐形术","PHB","4环","动作","专注，至多 1 分钟","幻术","触碰","声音、姿势","吟游诗人、术士、法师","你或一个你所触碰的生物变得隐形直到法术结束。只要目标所穿戴或携带的东西还在目标身上，它们也都将保持隐形。",""
"隔离术","PHB","7环","动作","直到 dispelled","变化","触碰","声音、姿势、材料 (钻石、绿宝石、红宝石、蓝宝石尘混合而成，价值至少5,000金币的粉末，在施法时消耗)","法师","通过此法术，一个自愿生物或一个物体可以被藏匿起来，且在法术持续期间内不会被侦测到。当你施放此法术并触碰一个目标，它将变为隐形，且无法成为预言系法术的目标，或被预言系法术创造出的探知感应器给察觉到。若该目标为一个生物，则它将陷入一种假死状态。它身上的时间将停止流动，且它不会衰老。你可以设置一个条件以让此法术提前结束。这个条件可以由你任意决定，但它必须在距离目标1里内发生或可被看见的事件。例如「经过1,000年后」或「当泰拉斯奎巨兽苏醒时」。此法术也会在目标受到任何伤害时结束。",""
"构装体召唤术","TCE","4环","动作","专注，至多 1 小时","咒法","90 尺","声音、姿势、材料 (一块华丽的石头和一个金属密码箱，价值至少 400gp)","奇械师","你唤来一个构装生物灵魄。其在施法距离内你可见的一个未占据位置化为实体。这一实体使用下面的构装体灵魄 的数据。当你施展法术时，从粘土，金属或石中选择一个材质。此生物的外形为一个你选定材质地魔像或魔冢，其资料表中的部分特性也受此影响。当其生命值降至0或法术结束时，生物消失。该生物在法术持续时间内对你和你的同伴们友好。在战斗中，该生物使用你的先攻，但在你回合结束后立即行动。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行闪避动作并远离危险。","升环施法效应. At Higher Levels 使用六环或更高法术位施展该法术时，该生物数据中使用更高的法术环数。"
"鼓动贪欲","AI","3环","动作","专注，至多 1 分钟","惑控","30 尺","声音、姿势、材料 (一块至少价值 50gp 的宝石)","牧师、契术师、法师","当你施展这个法术时，你将展现作为法术材料成分的宝石，并且选择施法距离内能看见你的、任意数量的生物。每一个目标都必须成功通过一次感知豁免检定，否则将会被你魅惑直到法术结束，或者直到你或你的同伴做了任何有害于他的事情。当生物被这种方式魅惑时，它们除了以安全的方式花费移动力来接近你以外，不能做任何其他的事情。当一个受影响的生物到达你的5尺之内，它将不能移动，只是贪婪地注视着你所展现的宝石。受影响的目标每个回合结束时，可以再进行一次感知豁免检定。如果它成功，对于那个目标的效果将结束。",""
"怪物定身术","PHB","5环","动作","专注，至多 1 分钟","惑控","90 尺","声音、姿势、材料 (一小块笔直的铁条)","吟游诗人、术士、契术师、法师","选择射程内你所能看见的一个生物。目标必须成功通过一次感知豁免，否则将在法术持续时间内被麻痹。此法术对不死生物没有任何效果。在它的每个回合结束时，目标可以再进行一次感知豁免。若豁免成功，则结束这个法术对目标的效果。","升环施法效应. At Higher Levels 当你使用6环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以再额外选择一个生物作为目标。当你选择这些生物时，它们彼此之间的距离必须在30尺内。"
"怪影杀手","PHB","9环","动作","专注，至多 1 分钟","幻术","120 尺","声音、姿势","法师","利用一群生物心中最深的恐惧，你在它们的脑海中创造出一群只有它们才能看见的幻象生物。每个位于射程内你所选择一点为中心的30尺半径球体范围内的生物都必须进行一次感知豁免。若豁免失败，该生物将在法术持续期间陷入恐惧状态。这道幻象将唤出生物最深的恐惧，将它最骇人的恶梦显现成一个无法摆脱的威胁。在被恐惧生物的每个回合结束时，它必须成功通过一次感知豁免，否则受到4d10心灵伤害。若豁免成功，则结束这个法术对该生物的影响。",""
"光导箭","PHB","1环","动作","1 轮","塑能","120 尺","声音、姿势","牧师","一道闪耀光束击向射程内你所选择的一个生物。对该目标进行一次远程法术攻击。若命中，目标将受到4d6光耀伤害，且直到你的下个回合结束前，多亏于目标身上闪烁的微光，下一次对该目标进行的攻击检定具有优势。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d6。"
"光亮术","PHB","戏法","动作","1 小时","塑能","触碰","声音、材料 (一只萤火虫或萤光苔)","奇械师、奇械师 (Revisited)、吟游诗人、牧师、术士、法师","你碰触一个任一边都不大于10尺的物体。直到法术结束前，该物体将散发出20尺半径的明亮光照和再延伸20尺的微光光照。光的颜色可以随你喜欢。用不透光的东西完全覆盖该物体将会遮住光线。此法术将会在你再次施放它或用一个动作解消时结束。如果你以一个敌对生物穿戴或持握的物体为目标，则该生物必须成功通过一个敏捷豁免以回避此法术。",""
"光墙术","XGE","5环","动作","专注，至多 10 分钟","塑能","120 尺","声音、姿势、材料 (一面手镜)","术士、契术师、法师","一道闪烁着的亮光之墙出现在射程内你所选择的一点。这道墙将呈现任何你所选择的方向：水平、垂直、或倾斜一定角度。它可以自由浮于空中、或伫立于固体表面上。这道墙可以呈现最多60尺长、10尺高、以及5尺厚。这道墙会隔绝视线，但生物和物体仍能穿过它。它会散发出120尺的明亮光照和再延伸120尺的微光光照。当这道墙出现时，每个处于其区域内的生物都必须进行一次体质豁免。若豁免失败，则该生物将受到4d8光耀伤害，且陷入目盲状态长达1分钟。若豁免成功，则它只受到一半的伤害，且不会陷入目盲。一个目盲生物可以在它的每个回合结束时进行一次体质豁免，若成功则结束这个效果对它的影响。一个在这道墙所在区域内结束它回合的生物将受到4d8光耀伤害。直到此法术结束前，你可以使用一个动作以从这道墙向一个你所能看见且距离这道墙60尺内的一个生物发射一道光束。进行一次远程法术攻击。若命中，目标将受到4d8光耀伤害。无论你命中与否，这道墙的长度都会减少10尺。若这道墙的长度减少至0尺，则此法术结束。","升环施法效应. At Higher Levels 当你使用6环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d8。"
"光耀祷词","XGE","戏法","动作","即效","塑能","5 尺","声音、材料 (一个圣徽)","牧师","你说出一个神圣短词，灼热的光线从你身上迸发。射程内你所能看见的每个由你选择的生物必须成功通过一次体质豁免，否则受到1d6光耀伤害。此法术的伤害将在你的等级升至5级时增加至2d6，11级时3d6，17级时4d6。",""
"鬼斧神工","PHB","4环","10 分钟","即效","变化","120 尺","声音、姿势","奇械师、奇械师、奇械师 (Revisited)、法师","你将未加工材料转变成以相同材料制成的成品。例如，你可以将一丛树木制造成一座木桥、将一把大麻变为绳子、或使亚麻或羊毛变为衣服。选择射程内你所能看见的未加工材料。只要有足够数量的未加工材料，你就可以制造一个尺寸为大型或更小的物体（可被容纳于10尺边长的立方体，或八个相互连接的5尺边长立方体空间）。然而，如果你加工的对象是金属、石头、或其他矿物材质，则你制造物体的尺寸将不能超过中型（可被容纳于一个5尺边长的立方体空间）。此法术制造出来物体的品质将与未加工材料的品质相称。生物或魔法物品不能被此法术创造或转变。你也无法使用此法术创造一个通常需要高度技艺以制造的物品，像是珠宝、武器、玻璃、或护甲，除非你熟练于用来制造这些物品的工匠工具。",""
"哈达之臂","PHB","1环","动作","即效","咒法","自身 (10尺 半径)","声音、姿势","契术师","你呼唤出黑暗饥渴者哈达的力量。黑暗能量形成的触手从你身上涌出，并打击距离你10尺内的所有生物。在该区域内的每个生物都必须进行一次力量豁免。 若豁免失败，目标将受到2d6黯蚀伤害。且直到它的下个回合之前都无法采取反应。若豁免成功，该生物受到一半的伤害，但不受其它效果影响。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d6。"
"哈达之欲","PHB","3环","动作","专注，至多 1 分钟","咒法","150 尺","声音、姿势、材料 (一根腌渍过的章鱼触手)","契术师","你打开一道大门通往群星间、一处孕育着未知恐惧的黑暗地带。一个黑暗与刺骨寒冷的20尺半径球体以射程内一点为中心凭空出现，并在法术持续期间持续存在。这片虚空孔洞内充斥着距离30尺内都能被听见的不和谐低语和啜食噪音。任何光源，无论是魔法或其他，都无法照亮这片区域，且完全处于这片区域的生物陷入目盲状态。这片虚空会使空间的维度扭曲，且该区域视作困难地形。任何在该区域开始它回合的生物会受到2d6冷冻伤害。任何在该区域结束它回合的生物则必须成功通过一次敏捷豁免，否则将因为遭到乳状、异界触手擦撞而受到2d6强酸伤害。",""
"海市蜃楼","PHB","7环","10 分钟","10 天","幻术","视线","声音、姿势","吟游诗人、德鲁伊、法师","你使一片最大1里平方范围内的地形在视觉、听觉、嗅觉、和甚至触觉上都像是另一种地形。然而，地形的大致形状仍保持不变。一片开阔的平原或道路可以被变得像是一片沼泽、丘陵、裂谷或其他难以通过或者无法通过的地形。一个池塘可以被变得看起来像是一片草原，一个悬崖可以像是一段缓坡，或者让一条乱石溪谷变得像是一条宽阔平坦的道路。同样的，你也可以改变建筑物的外观，或是在本来没有建筑物的位置上添加一栋。此法术并不能伪装、隐藏、或是添加生物。这个幻象包括了听觉、视觉、触觉、和嗅觉要素，因此它可以将平整的地表变成困难地形（反之亦然），或阻碍通过这片区域的移动。一旦幻象地形中的任意部分（像是石头或树枝）被移出此法术区域外，它将会立即消失。具有真实视觉的生物可以看穿幻象，并看见这片地形的真实型态；然而，任何其他幻象的要素仍会保留，因此即使该生物能意识到幻象的存在，它仍然能够与这个幻象进行物理性的交互。",""
"海啸术","PHB","8环","1 分钟","专注，至多 6 轮","咒法","视线","声音、姿势","德鲁伊","一面水墙在射程内你所选择的一点突然出现。你可以使这道墙呈现最多300尺长、300尺高、以及50尺厚。这道墙在法术持续期间内持续存在。当这道墙出现时，每个在范围内的生物都必须进行一次力量豁免。若豁免失败，该生物将受到6d10钝击伤害，豁免成功则只受到一半的伤害。在这道墙出现后你的每个回合开始时，这道墙，和任何在其中的生物，将移动远离你50尺的距离。任何在这道墙内、或在水墙移动时其所在空间被水墙进入的体型为巨型或以下的生物，都必须成功通过一次力量豁免，否则受到5d10钝击伤害。一个生物在每轮只会受到此伤害一次。在该回合结束时，这道墙的高度将会减少50尺，且在后续轮中此法术对生物所造成的伤害将减少1d10。当这道墙的高度降低至0尺，此法术结束。一个在水墙内的生物可以借由游泳移动。但因为波涛的阻力，该生物必须成功通过一次对抗你法术豁免DC的力量（运动）检定才能够移动。若它在此检定中失败，则它无法移动。一个移出水墙区域的生物将会坠落到地面。",""
"寒冰锥","PHB","5环","动作","即效","塑能","自身 (60尺 锥形)","声音、姿势、材料 (一小块水晶或玻璃锥)","术士、法师","一道寒冷的气浪从你的双手中迸发而出。每个处于60尺锥形内的生物都必须进行一次体质豁免。豁免失败的生物将受到8d8冷冻伤害，豁免成功则只受到一半的伤害。被此法术杀死的生物会被变成一尊冰冻雕像直到它溶解。","升环施法效应. At Higher Levels 当你使用6环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d8。"
"寒颤之触","PHB","戏法","动作","1 轮","死灵","120 尺","声音、姿势","术士、契术师、法师","你在射程内一个生物所占据的空间中创造出一只幽魂般的骸骨手掌。对该生物进行一次远程法术攻击以墓穴的刺骨寒气袭击目标。若命中，目标受到1d8黯蚀伤害，且直到你的下个回合开始前，它都无法再回复生命值。在那之前，这只鬼手都将紧抓着目标不放。如果你命中一个不死生物目标，直到你的下个回合结束前，它在对你进行攻击检定时也将承受劣势。此法术的伤害将在你的等级升至5级时增加至2d8，11级时3d8，17级时4d8。",""
"黑暗视觉","PHB","2环","动作","8 小时","变化","触碰","声音、姿势、材料 (一撮胡萝卜干或一个玛瑙)","奇械师、奇械师、奇械师 (Revisited)、德鲁伊、游侠、术士、法师","你触碰一个自愿生物以赋予它能在黑暗中视物的能力。在法术持续期间，该生物获得60尺黑暗视觉。",""
"黑暗术","PHB","2环","动作","专注，至多 10 分钟","塑能","60 尺","声音、材料 (蝙蝠毛皮和一滴沥青或一块煤炭)","术士、契术师、法师","魔法性的黑暗将从射程内你所选择的一处扩散，在法术持续时间内占据15尺半径球体的空间。这片黑暗会绕过转角。拥有黑暗视觉的生物无法看透这片黑暗，且非魔法光源也无法照亮它。如果你所选择的一处是一个你正持握、或一个未被穿戴或携带的物品，则黑暗将从该物体散发而出并会随之移动。用不透光的东西完全覆盖该黑暗的源头，像是碗或头盔，将会挡住黑暗。若此法术有任何一个区域与其他2环或更低的法术所创造的光照重叠，则创造该光照的法术将被解消。",""
"黑暗星辰","EGW","8环","动作","专注，至多 1 分钟","塑能","150 尺","声音、姿势、材料 (一小块碎玛瑙与一滴施法者的血液，在施法时被消耗。)","","该法术在施法距离内以你选择的一点为圆心创造一个球形范围。该圆形半径至多为40尺。区域内充斥着魔法黑暗与毁灭性的重力能量。法术持续时间内，球形区域内视为困难地形。一个拥有黑暗视觉的生物没法看透这片魔法黑暗，非魔法的光源无法点亮这片区域。该区域内没法发出声音，声音也没办法穿过该区域。任何完全处于该区域内的生物或物件免疫雷鸣伤害，并且生物完全处于该区域内时处于耳聋状态。在该法术的影响范围内没有办法施展需要语言成分的法术。任何在自己回合中第一次进入该区域的生物或在该区域内开始其回合的生物需要进行一次体质豁免。若豁免失败，该生物受到8d10力场伤害，成功则只受到一半伤害。当一个生物的HP被这个法术降低到0时，该生物被解离。被解离的生物与其身上穿着的，携带着的一切，除了魔法物品外，都会化为一缕灰色的烟尘。",""
"轰雷剑","TCE","戏法","动作","1 轮","塑能","自身 (5尺 半径)","姿势、材料 (一把价值至少1sp的近战武器)","奇械师、术士、契术师、法师","作为用来施展此法术动作的一部分，你必须使用一把武器对法术射程内的一名生物进行一次近战攻击，否则法术失败。若命中，目标受到该攻击的正常影响，且目标将被包覆在一团爆发性的能量之中，持续直到你的下个回合开始。如果目标在这之前自愿进行了一次移动，他将立即受到1d8雷鸣伤害，并结束法术效果。此法术的伤害将随着你的等级越高而增加。在5级的时候，近战攻击将对目标造成额外的1d8雷鸣伤害，且目标移动时所受到的伤害将提升至2d8。这两个伤害骰都将在11级和17级时各增加1d8。",""
"宏伟堡垒","XGE","8环","1 分钟","即效","咒法","1 里","声音、姿势、材料 (一个价值至少500金币的钻石，在施法时消耗)","法师","一座石制堡垒将从射程内你所选且你能看见的方形地面区域升起。这个区域的各边长为120尺，且在这片区域上不能有任何房屋或其他建筑物。任何在这片区域内的生物都将在堡垒升起时被无害的擡起。这座堡垒具有四座方形基底的塔楼，塔楼的各边长为20尺，且高度为30尺，分别坐落在堡垒的角落。这些塔楼通过80尺长的石制城墙彼此连接着，形成一个封闭的区域。每面墙具有1尺厚度，且由10尺宽、20尺高的复数板块所构成。每个板块都与另外两个板块、或另一个板块和塔楼彼此相连。你可以在堡垒的外墙上设置最多四扇石制城门。一个小型的城堡主楼坐落在封闭的区域内。这座主楼具有各边50尺的方形基底，且它拥有三层10尺高的楼层。每层楼都可以被你随意分隔成任意数量的房间，但每个房间的各边都必须至少为5尺长。主楼的楼层之间通过石制阶梯相连接，它的墙壁为6寸厚，且内部房间可以具有石制门板或开放式拱门，由你选择。主楼内的家具和装潢可以按你所喜欢的布置，且它存有足够的食物，能够每天为最多100人提供九道菜的盛宴。任何由此法术创造出的家具、食物、或其他物体都将在被移出堡垒时粉碎成尘。由一百个隐形仆役组成的职员，将服从任何由你在施放此法术时所指定的生物们给予它们的命令。每个仆役的功能都与隐形仆役法术所创造出来的仆役相同。城墙、塔楼、和城堡主楼都事由可以被伤害的石头所构成。每块10尺x10尺的石制区块都具有AC 15和每1寸厚度30点的生命值。它免疫于毒素和心灵伤害。将一个区块的生命值归零将会摧毁它，并在DM的裁断下可能会导致相连的区块垮下并崩塌。在7天之后，或当你在其他地方再次施放此法术，将会使这座堡垒无害地粉碎并沉入地表，并将任何原本在里面的生物安全地留在地面。通过每7天在相同地点施展此法术一整年，将会使这座堡垒永久存在。",""
"虹光法墙","PHB","9环","动作","10 分钟","防护","60 尺","声音、姿势","法师","一道闪烁、多彩的光线平面构成一道垂直不透光的墙壁—最多90尺长、30尺高、和1寸厚—并在射程内以你所能看见的一点为中心出现。或者，你可以将这道墙形塑成一个以射程内你所选择一点为中心，直径最多30尺的球体。这道墙将在法术持续期间内于该处持续存在。若你将这道墙设置在一个会穿过被生物占据空间的位置，则此法术失败，且你的动作和法术位将被浪费。这道墙散发出100尺范围的明亮光照以及再延伸100尺的微光光照。你和你在施放此法术时所指定的生物可以穿过并待在墙壁附近而不被其伤害。若其他可以看见这道墙壁的生物移动到距离它20尺内的位置，或在该处开始它的回合，则该生物必须成功通过一次体质豁免，否则陷入目盲状态长达1分钟。这道墙是由七层彩光构成，每层都有着不同的颜色。当一个生物尝试进入或穿过这道墙，它将一次一层的穿过所有光层。它每穿过一层光层，该生物就必须进行一次敏捷豁免，否则受到该光层下述的特性给影响。这道墙可以被摧毁，同样按照红到紫的顺序一次一层处理。一旦一层光层被摧毁，它将在此法术的持续期间中维持被摧毁的状态。反魔法结界对虹光法墙没有任何效果。 红色. 生物若豁免失败则受到10d6火焰伤害，豁免成功则只受到一半的伤害。当此光层存在时，非魔法远程攻击无法穿透这道墙。此光层可以通过对其造成至少25点冷冻伤害来摧毁。 橙色. 生物若豁免失败则受到10d6强酸伤害，豁免成功则只受到一半的伤害。当此光层存在时，魔法远程攻击无法穿透这道墙。此光层可以通过一阵强风来摧毁。 黄色. 生物若豁免失败则受到10d6闪电伤害，豁免成功则只受到一半的伤害。此光层可以通过对其造成至少60点冷冻伤害来摧毁。 绿色. 生物若豁免失败则受到10d6毒素伤害，豁免成功则只受到一半的伤害。穿墙术或其他相同或更高环阶且可以在固体表面上打开通道的法术可以摧毁此光层。 蓝色. 生物若豁免失败则受到10d6冷冻伤害，豁免成功则只受到一半的伤害。此光层可以通过对其造成至少25点火焰伤害来摧毁。 靛色. 若豁免失败，生物将陷入束缚状态。它接着必须在它的每个回合结束时进行一次体质豁免。若它成功通过三次豁免，则此法术结束。若它豁免失败三次，则它将永久地被变成石头并陷入石化状态。这些豁免检定的成功和失败并不需要是连续的；记录这两者的次数直到目标集齐其中一边三次。当此光层存在时，法术无法穿透这道墙。此光层可以通过昼明术法术、或其他相同或更高环阶的类似法术所散发的明亮光照来摧毁。 紫色. 若豁免失败，生物将陷入目盲状态。它接着必须在你的下个回合开始时进行一次感知豁免。若豁免成功则结束目盲状态。若它豁免失败，则该生物将被传送到另一个由DM所选择的存在位面，且不再目盲。（通常，一个不在它原生位面的生物将被驱逐回它的原生位面，而其他生物则通常会被传送到星界或乙太位面。)此光层可以通过解除魔法法术、或其他相同或更高环阶且的结束法术和魔法效果的类似法术来摧毁。",""
"虹光喷射","PHB","7环","动作","即效","塑能","自身 (60尺 锥形)","声音、姿势","术士、法师","八道多彩的射线光束从你的手中闪耀掠出。每道射线都有着不同颜色和不同的能量和效果。每个在60尺锥形范围内的生物都必须进行一次敏捷豁免。为每个目标骰一颗d8以决定哪个颜色的射线影响了它。 1-红色. 目标若豁免失败将10d6火焰伤害，豁免成功则只受到一半的伤害。 2-橙色. 目标若豁免失败将10d6强酸伤害，豁免成功则只受到一半的伤害。 3-黄色. 目标若豁免失败将10d6闪电伤害，豁免成功则只受到一半的伤害。 4-绿色. 目标若豁免失败将10d6毒素伤害，豁免成功则只受到一半的伤害。 5-蓝色. 目标若豁免失败将10d6冷冻伤害，豁免成功则只受到一半的伤害。 6-靛色. 若豁免失败，目标将陷入束缚状态。它接着必须在它的每个回合结束时进行一次体质豁免。若它成功通过三次豁免，则此法术结束。若它豁免失败三次，则它将永久地被变成石头并陷入石化状态。这些豁免检定的成功和失败并不需要是连续的；记录这两者的次数直到目标集齐其中一边三次。 7-紫色. 若豁免失败，目标将陷入目盲状态。它接着必须在你的下个回合开始时进行一次感知豁免。若豁免成功则结束目盲状态。若它豁免失败，则该生物将被传送到另一个由DM所选择的存在位面，且不再目盲。（通常，一个不在它原生位面的生物将被驱逐回它的原生位面，而其他生物则通常会被传送到星界或乙太位面。) 8-特殊. 目标被两道射线击中。再骰二次，并在骰到8时重骰。",""
"护盾术","PHB","1环","反应","1 轮","防护","自身","声音、姿势","术士、法师","一道不可见的魔法力场屏障出现并保护你。直到你的下个回合开始之前，包括触发此法术的攻击在内，你的AC获得+5加值，且你不会受到来自魔法飞弹的伤害。",""
"花言巧语","PHB","8环","动作","1 小时","变化","自身","声音","吟游诗人、契术师","直到此法术结束前，当你进行魅力检定时，你可以将你骰出的数值替换成15。此外，无论你说什么，判断你是否诚实的魔法将会认为你说的话都是实话。",""
"化兽为友","PHB","1环","动作","24 小时","惑控","30 尺","声音、姿势、材料 (少量食物)","吟游诗人、德鲁伊、游侠","此法术让你使一头野兽相信你无意伤害它。选择射程内你所能看见的一头野兽。它必须要能看见和听见你。如果该野兽的智力为4或更高，则此法术失败。除此之外，该野兽必须成功通过一次感知豁免，否则在法术持续时间内被你魅惑。如果你或你的其中一个同伴伤害该目标，则此法术结束。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以再额外影响一头野兽作为目标。"
